name,ingredients,preparation,cleaned_ingredients
Healthy Egg Bhurji (Style v3),eggs onions tomatoes green chiles turmeric coriander leaves oil,"Sauté chopped onions, green chiles, and tomatoes in oil. Pour in whisked eggs and stir continuously on medium heat to scramble gently.",eggs onions tomatoes green chiles turmeric coriander leaves oil
Baked Salmon Asparagus (Style v3),salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves,"Place salmon and trimmed asparagus on a baking sheet. Drizzle with olive oil, lemon juice, minced garlic, and dill, then bake at 200°C for 12 minutes.",salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves
Stir-Fried Broccoli Mushroom (Style v4),broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds,"Heat sesame oil in a hot wok. Sauté minced garlic and ginger, toss in broccoli florets and sliced mushrooms, and splash with soy sauce.",broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds
Palak Paneer Light (Style v4),paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil,"Blanch and puree fresh spinach. Sauté onions, garlic, and tomatoes in oil, stir in the spinach green base, and fold in low-fat paneer cubes.",paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil
Egg Avocado Toast (Style v4),eggs avocado whole wheat bread red pepper flakes sea salt lemon juice,"Toast bread. Mash avocado with lemon juice and salt, spread over the toast, and top with a perfectly poached egg and red pepper flakes.",eggs avocado whole wheat bread red pepper flakes sea salt lemon juice
Garlic Herb Chicken Breast (Style v4),chicken breast garlic olive oil rosemary thyme black pepper lemon zest,"Marinate chicken breasts with olive oil, minced garlic, fresh herbs, and lemon zest. Roast in a preheated oven at 190°C for 25-30 minutes.",chicken breast garlic olive oil rosemary thyme black pepper lemon zest
Tofu Avocado Wrap (Style v5),tofu avocado tortilla wraps lettuce tomatoes olive oil pepper,"Sear tofu cubes in a pan with olive oil. Mash ripe avocado on a warm whole wheat tortilla wrap, layer with lettuce, tomatoes, and tofu, then roll tightly.",tofu avocado tortilla wraps lettuce tomatoes olive oil pepper
Greek Yogurt Parfait (Style v5),greek yogurt oats walnuts honey apple kiwi pomegranate seeds,"Layer thick Greek yogurt in a glass with rolled oats, crushed walnuts, and diced fruits. Drizzle raw honey over the top layer before serving.",greek yogurt oats walnuts honey apple kiwi pomegranate seeds
Baked Egg Cups (Style v5),eggs spinach bell peppers salt pepper cheddar cheese,"Line a muffin tin with chopped spinach and bell peppers. Crack an egg into each cup, season with salt and pepper, top with cheese, and bake at 180°C for 15 minutes.",eggs spinach bell peppers salt pepper cheddar cheese
Clear Chicken Broth (Style v5),chicken bones carrots celery onions garlic ginger peppercorns water,"Simmer chicken bones, carrots, celery, onions, and smashed ginger in a deep stockpot filled with water for 2 hours, then strain cleanly.",chicken bones carrots celery onions garlic ginger peppercorns water
Sweet Potato Soup (Style v6),sweet potatoes carrots onions vegetable broth garlic coconut milk ginger,"Sauté onions, ginger, and garlic. Add diced sweet potatoes and carrots, pour in vegetable broth, simmer until soft, blend smooth, and stir in coconut milk.",sweet potatoes carrots onions vegetable broth garlic coconut milk ginger
Barley Vegetable Risotto (Style v6),barley mushrooms peas parmesan cheese vegetable broth onions garlic butter,"Sauté garlic and onions in butter, add pearl barley, and gradually pour in warm broth while stirring. Fold in green peas, mushrooms, and parmesan.",barley mushrooms peas parmesan cheese vegetable broth onions garlic butter
Shakshuka Light (Style v6),eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro,"Sauté onions, peppers, and garlic in olive oil. Add crushed tomatoes and spices, simmer until thick, make small wells, crack eggs inside, cover and cook until whites set.",eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro
Grilled Chicken Avocado Salad (Style v6),chicken breast mixed greens cucumber olive oil lemon juice avocado,"Grill seasoned chicken breast and slice into thin strips. Toss mixed greens, cucumber, and avocado with olive oil and lemon, then top with chicken.",chicken breast mixed greens cucumber olive oil lemon juice avocado
Chia Seed Berry Pudding (Style v7),chia seeds almond milk vanilla extract maple syrup strawberries blueberries,"Whisk chia seeds, almond milk, and vanilla together in a jar. Let it set in the refrigerator for 4 hours, then top with fresh mixed berries.",chia seeds almond milk vanilla extract maple syrup strawberries blueberries
Low-Fat Carrot Halwa (Style v7),carrots skimmed milk dates powder cardamom powder almonds ghee,"Grate carrots and simmer in skimmed milk until fully absorbed. Sweeten naturally with dates powder and cardamom, then garnish with slivered almonds.",carrots skimmed milk dates powder cardamom powder almonds ghee
Egg White Fried Rice (Style v7),egg whites rice brown peas carrots green onions soy sauce sesame oil,"Sauté carrots, peas, and green onions in sesame oil. Push veggies aside, scramble egg whites in the pan, toss in brown rice and low-sodium soy sauce.",egg whites rice brown peas carrots green onions soy sauce sesame oil
Baked Fish Fillet (Style v7),white fish fillet garlic powder paprika lemon juice olive oil parsley,"Coat fish fillets lightly with olive oil, garlic powder, and sweet paprika. Drizzle with fresh lemon juice and bake at 180°C for 15-18 minutes.",white fish fillet garlic powder paprika lemon juice olive oil parsley
Quinoa Salad (Style v8),quinoa cucumber tomatoes olive oil lemon avocado mint,"Toss cooked quinoa with chopped cucumber, tomatoes, and diced avocado. Drizzle olive oil and fresh lemon juice, then garnish with fresh mint leaves.",quinoa cucumber tomatoes olive oil lemon avocado mint
Healthy Protein Paneer Tikka (Style v8),paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil,Marinate cubed paneer and veggies in spiced yoghurt for 30 minutes. Thread onto skewers and grill until the edges are beautifully charred.,paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil
Egg White Spinach Omelet (Style v8),egg whites spinach bell peppers onions mushrooms black pepper olive oil,"Whisk egg whites with pepper. Sauté chopped veggies and spinach in a pan with olive oil, pour egg whites over them, and cook until completely set.",egg whites spinach bell peppers onions mushrooms black pepper olive oil
Hyderabadi Chicken Biryani (Style v8),chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice,"Marinate chicken in spiced yoghurt. Layer partially cooked basmati rice over chicken, top with caramelized onions, and dum-cook on low heat for 25 minutes.",chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice
High-Fiber Chana Masala (Style v9),chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil,"Soak chickpeas overnight and pressure cook. Sauté onions, ginger, garlic, and spices in oil, add pureed tomatoes, and simmer with chickpeas.",chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil
Nutrient-Dense Oats Porridge (Style v9),oats milk banana honey chia seeds almonds cinnamon powder water,"Simmer rolled oats in milk and water until creamy. Pour into a serving bowl and top with sliced bananas, crushed almonds, and a honey drizzle.",oats milk banana honey chia seeds almonds cinnamon powder water
Boiled Egg Salad (Style v9),boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice,"Slice hard-boiled eggs. Toss fresh mixed greens, cherry tomatoes, and cucumber with a light dressing of olive oil, lemon, and mustard paste.",boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice
Classic Butter Chicken (Style v9),chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes,"Sear spiced chicken pieces. Simmer pureed tomatoes and aromatic ginger-garlic in butter, stir in heavy cream, add chicken, and simmer for 10 minutes.",chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes
South Indian Dosa (Style v10),rice urad dal fenugreek seeds salt water oil,"Soak grains, grind into smooth batter, and ferment overnight. Spread thinly over a blistering hot tawa and cook until golden brown and crispy.",rice urad dal fenugreek seeds salt water oil
Moong Dal Khichdi (Style v10),split green moong dal rice turmeric cumin seeds ginger ghee spinach,"Pressure cook washed dal and rice with turmeric and chopped spinach. Temper with ghee, crackled cumin seeds, and minced ginger.",split green moong dal rice turmeric cumin seeds ginger ghee spinach
Healthy Egg Bhurji (Style v10),eggs onions tomatoes green chiles turmeric coriander leaves oil,"Sauté chopped onions, green chiles, and tomatoes in oil. Pour in whisked eggs and stir continuously on medium heat to scramble gently.",eggs onions tomatoes green chiles turmeric coriander leaves oil
Baked Salmon Asparagus (Style v10),salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves,"Place salmon and trimmed asparagus on a baking sheet. Drizzle with olive oil, lemon juice, minced garlic, and dill, then bake at 200°C for 12 minutes.",salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves
Stir-Fried Broccoli Mushroom (Style v11),broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds,"Heat sesame oil in a hot wok. Sauté minced garlic and ginger, toss in broccoli florets and sliced mushrooms, and splash with soy sauce.",broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds
Palak Paneer Light (Style v11),paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil,"Blanch and puree fresh spinach. Sauté onions, garlic, and tomatoes in oil, stir in the spinach green base, and fold in low-fat paneer cubes.",paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil
Egg Avocado Toast (Style v11),eggs avocado whole wheat bread red pepper flakes sea salt lemon juice,"Toast bread. Mash avocado with lemon juice and salt, spread over the toast, and top with a perfectly poached egg and red pepper flakes.",eggs avocado whole wheat bread red pepper flakes sea salt lemon juice
Garlic Herb Chicken Breast (Style v11),chicken breast garlic olive oil rosemary thyme black pepper lemon zest,"Marinate chicken breasts with olive oil, minced garlic, fresh herbs, and lemon zest. Roast in a preheated oven at 190°C for 25-30 minutes.",chicken breast garlic olive oil rosemary thyme black pepper lemon zest
Tofu Avocado Wrap (Style v12),tofu avocado tortilla wraps lettuce tomatoes olive oil pepper,"Sear tofu cubes in a pan with olive oil. Mash ripe avocado on a warm whole wheat tortilla wrap, layer with lettuce, tomatoes, and tofu, then roll tightly.",tofu avocado tortilla wraps lettuce tomatoes olive oil pepper
Greek Yogurt Parfait (Style v12),greek yogurt oats walnuts honey apple kiwi pomegranate seeds,"Layer thick Greek yogurt in a glass with rolled oats, crushed walnuts, and diced fruits. Drizzle raw honey over the top layer before serving.",greek yogurt oats walnuts honey apple kiwi pomegranate seeds
Baked Egg Cups (Style v12),eggs spinach bell peppers salt pepper cheddar cheese,"Line a muffin tin with chopped spinach and bell peppers. Crack an egg into each cup, season with salt and pepper, top with cheese, and bake at 180°C for 15 minutes.",eggs spinach bell peppers salt pepper cheddar cheese
Clear Chicken Broth (Style v12),chicken bones carrots celery onions garlic ginger peppercorns water,"Simmer chicken bones, carrots, celery, onions, and smashed ginger in a deep stockpot filled with water for 2 hours, then strain cleanly.",chicken bones carrots celery onions garlic ginger peppercorns water
Sweet Potato Soup (Style v13),sweet potatoes carrots onions vegetable broth garlic coconut milk ginger,"Sauté onions, ginger, and garlic. Add diced sweet potatoes and carrots, pour in vegetable broth, simmer until soft, blend smooth, and stir in coconut milk.",sweet potatoes carrots onions vegetable broth garlic coconut milk ginger
Barley Vegetable Risotto (Style v13),barley mushrooms peas parmesan cheese vegetable broth onions garlic butter,"Sauté garlic and onions in butter, add pearl barley, and gradually pour in warm broth while stirring. Fold in green peas, mushrooms, and parmesan.",barley mushrooms peas parmesan cheese vegetable broth onions garlic butter
Shakshuka Light (Style v13),eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro,"Sauté onions, peppers, and garlic in olive oil. Add crushed tomatoes and spices, simmer until thick, make small wells, crack eggs inside, cover and cook until whites set.",eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro
Grilled Chicken Avocado Salad (Style v13),chicken breast mixed greens cucumber olive oil lemon juice avocado,"Grill seasoned chicken breast and slice into thin strips. Toss mixed greens, cucumber, and avocado with olive oil and lemon, then top with chicken.",chicken breast mixed greens cucumber olive oil lemon juice avocado
Chia Seed Berry Pudding (Style v14),chia seeds almond milk vanilla extract maple syrup strawberries blueberries,"Whisk chia seeds, almond milk, and vanilla together in a jar. Let it set in the refrigerator for 4 hours, then top with fresh mixed berries.",chia seeds almond milk vanilla extract maple syrup strawberries blueberries
Low-Fat Carrot Halwa (Style v14),carrots skimmed milk dates powder cardamom powder almonds ghee,"Grate carrots and simmer in skimmed milk until fully absorbed. Sweeten naturally with dates powder and cardamom, then garnish with slivered almonds.",carrots skimmed milk dates powder cardamom powder almonds ghee
Egg White Fried Rice (Style v14),egg whites rice brown peas carrots green onions soy sauce sesame oil,"Sauté carrots, peas, and green onions in sesame oil. Push veggies aside, scramble egg whites in the pan, toss in brown rice and low-sodium soy sauce.",egg whites rice brown peas carrots green onions soy sauce sesame oil
Baked Fish Fillet (Style v14),white fish fillet garlic powder paprika lemon juice olive oil parsley,"Coat fish fillets lightly with olive oil, garlic powder, and sweet paprika. Drizzle with fresh lemon juice and bake at 180°C for 15-18 minutes.",white fish fillet garlic powder paprika lemon juice olive oil parsley
Quinoa Salad (Style v15),quinoa cucumber tomatoes olive oil lemon avocado mint,"Toss cooked quinoa with chopped cucumber, tomatoes, and diced avocado. Drizzle olive oil and fresh lemon juice, then garnish with fresh mint leaves.",quinoa cucumber tomatoes olive oil lemon avocado mint
Healthy Protein Paneer Tikka (Style v15),paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil,Marinate cubed paneer and veggies in spiced yoghurt for 30 minutes. Thread onto skewers and grill until the edges are beautifully charred.,paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil
Egg White Spinach Omelet (Style v15),egg whites spinach bell peppers onions mushrooms black pepper olive oil,"Whisk egg whites with pepper. Sauté chopped veggies and spinach in a pan with olive oil, pour egg whites over them, and cook until completely set.",egg whites spinach bell peppers onions mushrooms black pepper olive oil
Hyderabadi Chicken Biryani (Style v15),chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice,"Marinate chicken in spiced yoghurt. Layer partially cooked basmati rice over chicken, top with caramelized onions, and dum-cook on low heat for 25 minutes.",chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice
High-Fiber Chana Masala (Style v16),chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil,"Soak chickpeas overnight and pressure cook. Sauté onions, ginger, garlic, and spices in oil, add pureed tomatoes, and simmer with chickpeas.",chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil
Nutrient-Dense Oats Porridge (Style v16),oats milk banana honey chia seeds almonds cinnamon powder water,"Simmer rolled oats in milk and water until creamy. Pour into a serving bowl and top with sliced bananas, crushed almonds, and a honey drizzle.",oats milk banana honey chia seeds almonds cinnamon powder water
Boiled Egg Salad (Style v16),boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice,"Slice hard-boiled eggs. Toss fresh mixed greens, cherry tomatoes, and cucumber with a light dressing of olive oil, lemon, and mustard paste.",boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice
Classic Butter Chicken (Style v16),chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes,"Sear spiced chicken pieces. Simmer pureed tomatoes and aromatic ginger-garlic in butter, stir in heavy cream, add chicken, and simmer for 10 minutes.",chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes
South Indian Dosa (Style v17),rice urad dal fenugreek seeds salt water oil,"Soak grains, grind into smooth batter, and ferment overnight. Spread thinly over a blistering hot tawa and cook until golden brown and crispy.",rice urad dal fenugreek seeds salt water oil
Moong Dal Khichdi (Style v17),split green moong dal rice turmeric cumin seeds ginger ghee spinach,"Pressure cook washed dal and rice with turmeric and chopped spinach. Temper with ghee, crackled cumin seeds, and minced ginger.",split green moong dal rice turmeric cumin seeds ginger ghee spinach
Healthy Egg Bhurji (Style v17),eggs onions tomatoes green chiles turmeric coriander leaves oil,"Sauté chopped onions, green chiles, and tomatoes in oil. Pour in whisked eggs and stir continuously on medium heat to scramble gently.",eggs onions tomatoes green chiles turmeric coriander leaves oil
Baked Salmon Asparagus (Style v17),salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves,"Place salmon and trimmed asparagus on a baking sheet. Drizzle with olive oil, lemon juice, minced garlic, and dill, then bake at 200°C for 12 minutes.",salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves
Stir-Fried Broccoli Mushroom (Style v18),broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds,"Heat sesame oil in a hot wok. Sauté minced garlic and ginger, toss in broccoli florets and sliced mushrooms, and splash with soy sauce.",broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds
Palak Paneer Light (Style v18),paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil,"Blanch and puree fresh spinach. Sauté onions, garlic, and tomatoes in oil, stir in the spinach green base, and fold in low-fat paneer cubes.",paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil
Egg Avocado Toast (Style v18),eggs avocado whole wheat bread red pepper flakes sea salt lemon juice,"Toast bread. Mash avocado with lemon juice and salt, spread over the toast, and top with a perfectly poached egg and red pepper flakes.",eggs avocado whole wheat bread red pepper flakes sea salt lemon juice
Garlic Herb Chicken Breast (Style v18),chicken breast garlic olive oil rosemary thyme black pepper lemon zest,"Marinate chicken breasts with olive oil, minced garlic, fresh herbs, and lemon zest. Roast in a preheated oven at 190°C for 25-30 minutes.",chicken breast garlic olive oil rosemary thyme black pepper lemon zest
Tofu Avocado Wrap (Style v19),tofu avocado tortilla wraps lettuce tomatoes olive oil pepper,"Sear tofu cubes in a pan with olive oil. Mash ripe avocado on a warm whole wheat tortilla wrap, layer with lettuce, tomatoes, and tofu, then roll tightly.",tofu avocado tortilla wraps lettuce tomatoes olive oil pepper
Greek Yogurt Parfait (Style v19),greek yogurt oats walnuts honey apple kiwi pomegranate seeds,"Layer thick Greek yogurt in a glass with rolled oats, crushed walnuts, and diced fruits. Drizzle raw honey over the top layer before serving.",greek yogurt oats walnuts honey apple kiwi pomegranate seeds
Baked Egg Cups (Style v19),eggs spinach bell peppers salt pepper cheddar cheese,"Line a muffin tin with chopped spinach and bell peppers. Crack an egg into each cup, season with salt and pepper, top with cheese, and bake at 180°C for 15 minutes.",eggs spinach bell peppers salt pepper cheddar cheese
Clear Chicken Broth (Style v19),chicken bones carrots celery onions garlic ginger peppercorns water,"Simmer chicken bones, carrots, celery, onions, and smashed ginger in a deep stockpot filled with water for 2 hours, then strain cleanly.",chicken bones carrots celery onions garlic ginger peppercorns water
Sweet Potato Soup (Style v20),sweet potatoes carrots onions vegetable broth garlic coconut milk ginger,"Sauté onions, ginger, and garlic. Add diced sweet potatoes and carrots, pour in vegetable broth, simmer until soft, blend smooth, and stir in coconut milk.",sweet potatoes carrots onions vegetable broth garlic coconut milk ginger
Barley Vegetable Risotto (Style v20),barley mushrooms peas parmesan cheese vegetable broth onions garlic butter,"Sauté garlic and onions in butter, add pearl barley, and gradually pour in warm broth while stirring. Fold in green peas, mushrooms, and parmesan.",barley mushrooms peas parmesan cheese vegetable broth onions garlic butter
Shakshuka Light (Style v20),eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro,"Sauté onions, peppers, and garlic in olive oil. Add crushed tomatoes and spices, simmer until thick, make small wells, crack eggs inside, cover and cook until whites set.",eggs tomatoes bell peppers onions garlic cumin paprika olive oil cilantro
Grilled Chicken Avocado Salad (Style v20),chicken breast mixed greens cucumber olive oil lemon juice avocado,"Grill seasoned chicken breast and slice into thin strips. Toss mixed greens, cucumber, and avocado with olive oil and lemon, then top with chicken.",chicken breast mixed greens cucumber olive oil lemon juice avocado
Chia Seed Berry Pudding (Style v21),chia seeds almond milk vanilla extract maple syrup strawberries blueberries,"Whisk chia seeds, almond milk, and vanilla together in a jar. Let it set in the refrigerator for 4 hours, then top with fresh mixed berries.",chia seeds almond milk vanilla extract maple syrup strawberries blueberries
Low-Fat Carrot Halwa (Style v21),carrots skimmed milk dates powder cardamom powder almonds ghee,"Grate carrots and simmer in skimmed milk until fully absorbed. Sweeten naturally with dates powder and cardamom, then garnish with slivered almonds.",carrots skimmed milk dates powder cardamom powder almonds ghee
Egg White Fried Rice (Style v21),egg whites rice brown peas carrots green onions soy sauce sesame oil,"Sauté carrots, peas, and green onions in sesame oil. Push veggies aside, scramble egg whites in the pan, toss in brown rice and low-sodium soy sauce.",egg whites rice brown peas carrots green onions soy sauce sesame oil
Baked Fish Fillet (Style v21),white fish fillet garlic powder paprika lemon juice olive oil parsley,"Coat fish fillets lightly with olive oil, garlic powder, and sweet paprika. Drizzle with fresh lemon juice and bake at 180°C for 15-18 minutes.",white fish fillet garlic powder paprika lemon juice olive oil parsley
Quinoa Salad (Style v22),quinoa cucumber tomatoes olive oil lemon avocado mint,"Toss cooked quinoa with chopped cucumber, tomatoes, and diced avocado. Drizzle olive oil and fresh lemon juice, then garnish with fresh mint leaves.",quinoa cucumber tomatoes olive oil lemon avocado mint
Healthy Protein Paneer Tikka (Style v22),paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil,Marinate cubed paneer and veggies in spiced yoghurt for 30 minutes. Thread onto skewers and grill until the edges are beautifully charred.,paneer bell peppers onions yoghurt lemon juice ginger garlic paste turmeric kasuri methi oil
Egg White Spinach Omelet (Style v22),egg whites spinach bell peppers onions mushrooms black pepper olive oil,"Whisk egg whites with pepper. Sauté chopped veggies and spinach in a pan with olive oil, pour egg whites over them, and cook until completely set.",egg whites spinach bell peppers onions mushrooms black pepper olive oil
Hyderabadi Chicken Biryani (Style v22),chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice,"Marinate chicken in spiced yoghurt. Layer partially cooked basmati rice over chicken, top with caramelized onions, and dum-cook on low heat for 25 minutes.",chicken garlic ginger yoghurt turmeric red chile powder garam masala onions ghee rice
High-Fiber Chana Masala (Style v23),chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil,"Soak chickpeas overnight and pressure cook. Sauté onions, ginger, garlic, and spices in oil, add pureed tomatoes, and simmer with chickpeas.",chickpeas tomatoes onions ginger garlic green chiles cumin coriander turmeric garam masala amchur oil
Nutrient-Dense Oats Porridge (Style v23),oats milk banana honey chia seeds almonds cinnamon powder water,"Simmer rolled oats in milk and water until creamy. Pour into a serving bowl and top with sliced bananas, crushed almonds, and a honey drizzle.",oats milk banana honey chia seeds almonds cinnamon powder water
Boiled Egg Salad (Style v23),boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice,"Slice hard-boiled eggs. Toss fresh mixed greens, cherry tomatoes, and cucumber with a light dressing of olive oil, lemon, and mustard paste.",boiled eggs mixed greens cherry tomatoes cucumber olive oil mustard paste lemon juice
Classic Butter Chicken (Style v23),chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes,"Sear spiced chicken pieces. Simmer pureed tomatoes and aromatic ginger-garlic in butter, stir in heavy cream, add chicken, and simmer for 10 minutes.",chicken onions butter vegetable oil garlic ginger heavy cream tomato paste canned tomatoes
South Indian Dosa (Style v24),rice urad dal fenugreek seeds salt water oil,"Soak grains, grind into smooth batter, and ferment overnight. Spread thinly over a blistering hot tawa and cook until golden brown and crispy.",rice urad dal fenugreek seeds salt water oil
Moong Dal Khichdi (Style v24),split green moong dal rice turmeric cumin seeds ginger ghee spinach,"Pressure cook washed dal and rice with turmeric and chopped spinach. Temper with ghee, crackled cumin seeds, and minced ginger.",split green moong dal rice turmeric cumin seeds ginger ghee spinach
Healthy Egg Bhurji (Style v24),eggs onions tomatoes green chiles turmeric coriander leaves oil,"Sauté chopped onions, green chiles, and tomatoes in oil. Pour in whisked eggs and stir continuously on medium heat to scramble gently.",eggs onions tomatoes green chiles turmeric coriander leaves oil
Baked Salmon Asparagus (Style v24),salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves,"Place salmon and trimmed asparagus on a baking sheet. Drizzle with olive oil, lemon juice, minced garlic, and dill, then bake at 200°C for 12 minutes.",salmon fillet asparagus lemon juice olive oil garlic black pepper dill leaves
Stir-Fried Broccoli Mushroom (Style v25),broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds,"Heat sesame oil in a hot wok. Sauté minced garlic and ginger, toss in broccoli florets and sliced mushrooms, and splash with soy sauce.",broccoli mushrooms garlic ginger soy sauce sesame oil sesame seeds
Palak Paneer Light (Style v25),paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil,"Blanch and puree fresh spinach. Sauté onions, garlic, and tomatoes in oil, stir in the spinach green base, and fold in low-fat paneer cubes.",paneer spinach tomatoes onions ginger garlic cumin powder garam masala oil
Egg Avocado Toast (Style v25),eggs avocado whole wheat bread red pepper flakes sea salt lemon juice,"Toast bread. Mash avocado with lemon juice and salt, spread over the toast, and top with a perfectly poached egg and red pepper flakes.",eggs avocado whole wheat bread red pepper flakes sea salt lemon juice
Garlic Herb Chicken Breast (Style v25),chicken breast garlic olive oil rosemary thyme black pepper lemon zest,"Marinate chicken breasts with olive oil, minced garlic, fresh herbs, and lemon zest. Roast in a preheated oven at 190°C for 25-30 minutes.",chicken breast garlic olive oil rosemary thyme black pepper lemon zest
